Bank Name,Holding Company,Rank,Bank ID,Location,Charter,Consol Assets ($M),Domestic Assets ($M),Domestic %,Cuml %,Branches Domestic,Branches Foreign,Foreign Exposure (Y/N)
NORTHEAST BK,,293,468806,"LEWISTON, ME",SNM,3940,3940,100,92,9,0,N
FIRST GUARANTY BK,SMITH & HOOD HC LLC,294,422433,"HAMMOND, LA",SNM,3922,3922,100,92,33,0,N
CITIZENS FIRST BK,VILLAGES BC,295,1867983,"THE VILLAGES, FL",SNM,3899,3899,100,92,17,0,N
FIVE STAR BK,FIVE STAR BC,296,2867337,"ROSEVILLE, CA",SNM,3887,3887,100,92,7,0,N
WELLS FARGO BK S CENT NA,WELLS FARGO & CO,297,2362458,"HOUSTON, TX",NAT,3880,3880,100,92,0,0,N
SUMITOMO MITSUI TR BK USA,,298,925411,"HOBOKEN, NJ",SNM,3878,3878,100,92,0,0,N
ENCORE BK,ENCORE BSHRS,299,2594240,"LITTLE ROCK, AR",SMB,3862,3862,100,92,17,0,N
NATIONAL CO-OP BK NA,NATIONAL CONSUMER CO-OP BK,300,99376,"HILLSBORO, OH",NAT,3830,3830,100,92,0,0,N
BANK OF MARIN,BANK OF MARIN BC,301,1436204,"CORTE MADERA, CA",SNM,3793,3793,100,92,27,0,N
FIRST BK,,302,3401970,"HAMILTON, NJ",SNM,3758,3758,100,92,25,0,N
BANK OF UT,BOU BC,303,933975,"OGDEN, UT",SNM,3749,3749,100,92,17,0,N
STRIDE BK NA,CENTRAL SVC CORP,304,278555,"ENID, OK",NAT,3741,3741,100,92,10,0,N
INDEPENDENCE BK OF KY,INDEPENDENCE BSHRS,305,648242,"OWENSBORO, KY",SMB,3730,3730,100,92,25,0,N
FIRST BUS BK,FIRST BUS FS,306,537449,"MADISON, WI",SNM,3716,3716,100,92,3,0,N
BANK OF THE SIERRA,SIERRA BC,307,662369,"PORTERVILLE, CA",SNM,3694,3694,100,92,34,0,N
FIRST B&TC,FIRST BC,308,223322,"LEBANON, VA",SMB,3669,3669,100,92,26,0,N
UNITED CMNTY BK,UNITED CMNTY BC,309,439338,"CHATHAM, IL",SNM,3645,3645,100,92,43,0,N
SECURITY BK OF KANSAS CITY,VALLEY VIEW BSHRS,310,1009354,"KANSAS CITY, KS",SNM,3639,3639,100,92,34,0,N
WHEATON B&TC NA,WINTRUST FC,311,2044811,"WHEATON, IL",NAT,3622,3622,100,92,7,0,N
BCB CMNTY BK,BCB BC,312,2954059,"BAYONNE, NJ",SNM,3612,3612,100,92,27,0,N
PARKWAY B&TC,PARKWAY BC,313,1001639,"HARWOOD HEIGHTS, IL",SNM,3610,3610,100,92,26,0,N
CENTRAL B&TC,CENTRAL BSHRS,314,1007015,"LEXINGTON, KY",SNM,3584,3584,100,92,27,0,N
METRO CITY BK,METROCITY BSHRS,315,3437456,"DORAVILLE, GA",SNM,3559,3559,100,92,19,0,N
