Bank Name,Holding Company,Rank,Bank ID,Location,Charter,Consol Assets ($M),Domestic Assets ($M),Domestic %,Cuml %,Branches Domestic,Branches Foreign,Foreign Exposure (Y/N)
GOLDMAN SACHS BK USA,GOLDMAN SACHS GROUP THE,8,2182786,"NEW YORK, NY",SMB,521102,456599,88,53,2,2,N
CAPITAL ONE NA,CAPITAL ONE FC,9,112837,"MC LEAN, VA",NAT,475629,475068,100,55,278,1,N
BANK OF NY MELLON,BANK OF NY MELLON CORP,11,541101,"NEW YORK, NY",SMB,332529,249153,75,59,1,15,Y
STATE STREET B&TC,STATE STREET CORP,12,35301,"BOSTON, MA",SMB,293238,212534,72,60,2,10,N
FIRST-CITIZENS B&TC,FIRST CITIZENS BSHRS,16,491224,"RALEIGH, NC",SNM,213618,213559,100,64,554,0,N
MORGAN STANLEY BK NA,MORGAN STANLEY,17,1456501,"SALT LAKE CITY, UT",NAT,209006,209006,100,65,0,0,N
MANUFACTURERS & TRADERS TC,M&T BK CORP,18,501105,"BUFFALO, NY",SMB,207771,207771,100,66,993,1,Y
MORGAN STANLEY PRIV BK NA,MORGAN STANLEY,19,2489805,"PURCHASE, NY",NAT,203313,203313,100,67,0,0,N
ALLY BK,ALLY FNCL,21,3284070,"SANDY, UT",SMB,186114,186114,100,69,0,0,N
KEYBANK NA,KEYCORP,22,280110,"CLEVELAND, OH",NAT,185890,185887,100,69,978,0,N
AMERICAN EXPRESS NB,AMERICAN EXPRESS CO,23,1394676,"SANDY, UT",NAT,180421,180421,100,70,0,0,N
HSBC BK USA NA,HSBC N AMER HOLDS,24,413208,"TYSONS, VA",NAT,165172,165171,100,71,20,3,Y
NORTHERN TC,NORTHERN TR CORP,26,210434,"CHICAGO, IL",SMB,150252,102802,68,72,55,4,Y
DISCOVER BK,DISCOVER FS,27,30810,"GREENWOOD, DE",SNM,149353,149353,100,73,0,0,N
FLAGSTAR BK NA,NEW YORK CMNTY BC,28,694904,"HICKSVILLE, NY",NAT,116257,116257,100,74,421,0,N
SANTANDER BK NA,SANTANDER HOLDS USA,29,722777,"WILMINGTON, DE",NAT,100488,100475,100,74,409,0,N
CITY NB,RBC US GRP HOLDS LLC,30,63069,"LOS ANGELES, CA",NAT,93373,93373,100,75,64,0,N
ZIONS BC NA,,31,276579,"SALT LAKE CITY, UT",NAT,87203,87203,100,75,430,0,N
COMERICA BK,COMERICA,32,60143,"DALLAS, TX",SMB,85902,85525,100,75,408,1,N
FIRST HORIZON BK,FIRST HORIZON CORP,33,485559,"MEMPHIS, TN",SMB,81367,81367,100,76,419,0,N
WEBSTER BK NA,WEBSTER FNCL CORP,34,761806,"STAMFORD, CT",NAT,74876,74876,100,76,199,0,N
WESTERN ALLI BK,WESTERN ALLI BC,35,3138146,"PHOENIX, AZ",SMB,70853,70853,100,76,38,0,N
EAST WEST BK,EAST WEST BC,36,197478,"PASADENA, CA",SMB,69479,66272,95,77,100,1,N
VALLEY NB,VALLEY NAT BC,37,229801,"PASSAIC, NJ",NAT,60944,60944,100,77,230,0,N
SYNOVUS BK,SYNOVUS FC,38,395238,"COLUMBUS, GA",SMB,59686,59686,100,77,244,0,N
CIBC BK USA,CIBC BC USA,39,1842065,"CHICAGO, IL",SNM,54847,54847,100,77,23,0,N
UMPQUA BK,COLUMBIA BKG SYS,40,143662,"LAKE OSWEGO, OR",SNM,52167,52167,100,78,299,0,N
FROST BK,CULLEN/FROST BKR,41,682563,"SAN ANTONIO, TX",SMB,50957,50957,100,78,194,0,N
BOKF NA,BOK FC,42,339858,"TULSA, OK",NAT,49583,49583,100,78,110,0,N
CADENCE BK,,43,606046,"TUPELO, MS",SNM,48935,48935,100,78,367,0,N
OLD NB,OLD NAT BC,44,208244,"EVANSVILLE, IN",NAT,48803,48803,100,79,263,0,Y
PINNACLE BK,PINNACLE FNCL PTNR,45,2925666,"NASHVILLE, TN",SNM,47830,47830,100,79,127,0,N
FIRST NB OF PA,FNB CORP,46,379920,"GREENVILLE, PA",NAT,46036,46036,100,79,345,0,N
SOUTHSTATE BK NA,SOUTHSTATE CORP,47,1929247,"WINTER HAVEN, FL",NAT,44887,44887,100,79,250,0,N
UMB BK NA,UMB FC,48,936855,"KANSAS CITY, MO",NAT,43730,43730,100,79,91,0,N
RAYMOND JAMES BK,RAYMOND JAMES FNCL,49,2193616,"SAINT PETERSBURG, FL",SMB,41986,41666,99,80,0,0,N
BARCLAYS BK DE,BARCLAYS US LLC,50,2980209,"WILMINGTON, DE",SNM,41575,41575,100,80,0,0,N
ASSOCIATED BK NA,ASSOCIATED BANC-CORP,51,917742,"GREEN BAY, WI",NAT,40967,40967,100,80,196,0,N
DEUTSCHE BK TC AMERICAS,DB USA CORP,52,214807,"NEW YORK, NY",SMB,38725,38725,100,80,0,0,N
PROSPERITY BK,PROSPERITY BSHRS,53,664756,"EL CAMPO, TX",SNM,38557,38557,100,80,298,0,N
BANC OF CA,BANC OF CA,54,494261,"LOS ANGELES, CA",SMB,38369,38369,100,81,95,0,N
T D BK USA NA,TD GRP US HOLDS LLC,55,2121196,"WILMINGTON, DE",NAT,36399,36399,100,81,1,0,N
EVERBANK NA,EVERBANK FNCL CORP,56,2735146,"JACKSONVILLE, FL",NAT,36153,36153,100,81,9,0,N
BANKUNITED NA,BANKUNITED,57,3938186,"MIAMI LAKES, FL",NAT,35721,35721,100,81,58,0,N
HANCOCK WHITNEY BK,HANCOCK WHITNEY CORP,58,463735,"GULFPORT, MS",SNM,35580,35580,100,81,182,0,N
BANK OZK,,59,107244,"LITTLE ROCK, AR",SNM,34237,34237,100,81,230,0,N
COMMERCE BK,COMMERCE BSHRS,60,601050,"KANSAS CITY, MO",SMB,31504,31504,100,82,141,0,N
FIRST NB OF OMAHA,LAURITZEN CORP,61,527954,"OMAHA, NE",NAT,31111,31111,100,82,120,0,N
BNY MELLON NA,BANK OF NY MELLON CORP,62,934329,"PITTSBURGH, PA",NAT,30681,30681,100,82,0,0,N
FIRST INTRST BK,FIRST INTRST BANCSYSTEM,63,659855,"BILLINGS, MT",SMB,30604,30604,100,82,303,0,N
UNITED BK,UNITED BSHRS,64,365325,"FAIRFAX, VA",SMB,29851,29851,100,82,218,0,N
TEXAS CAP BK,TEXAS CAP BSHRS,65,2618780,"DALLAS, TX",SNM,28309,28309,100,82,10,0,N
FIRSTBANK,REISHER FAM FOUND,66,288853,"LAKEWOOD, CO",SMB,28121,28121,100,82,100,0,N
GLACIER BK,GLACIER BC,67,2634191,"KALISPELL, MT",SNM,27724,27724,100,82,199,0,N
ARVEST BK,ARVEST BK GRP,68,311845,"FAYETTEVILLE, AR",SMB,27645,27645,100,83,224,0,N
FULTON BK NA,FULTON FNCL CORP,69,474919,"LANCASTER, PA",NAT,27433,27433,100,83,208,0,N
SIMMONS BK,SIMMONS FIRST NAT CORP,70,663245,"PINE BLUFF, AR",SMB,27309,27309,100,83,241,0,N
UNITED CMNTY BK,UNITED CMNTY BK,71,1017939,"GREENVILLE, SC",SNM,27241,27241,100,83,198,0,N
CITY NB OF FL,BCI FNCL GRP,72,814430,"MIAMI, FL",NAT,26139,26139,100,83,30,0,N
AMERIS BK,AMERIS BC,73,764030,"ATLANTA, GA",SNM,25112,25112,100,83,164,0,N
FIRST HAWAIIAN BK,FIRST HAWAIIAN,74,980661,"HONOLULU, HI",SNM,24926,24266,97,83,49,0,Y
SOFI BK NA,SOFI TECHS,75,962966,"COTTONWOOD HEIGHTS, UT",NAT,24063,24063,100,83,3,0,N
BANK OF HAWAII,BANK OF HI CORP,76,795968,"HONOLULU, HI",SMB,23703,23053,97,84,50,1,Y
CATHAY BK,CATHAY GEN BC,77,595869,"LOS ANGELES, CA",SNM,23056,22688,98,84,63,1,N
WASHINGTON FED BK,WAFD,78,656377,"SEATTLE, WA",SNM,22637,22637,100,84,198,0,N
CENTENNIAL BK,HOME BSHRS,79,456045,"CONWAY, AR",SMB,22582,22582,100,84,227,0,N
CUSTOMERS BK,CUSTOMERS BC,80,2354985,"MALVERN, PA",SMB,21304,21304,100,84,6,0,N
EASTERN BK,EASTERN BSHRS,81,128904,"BOSTON, MA",SNM,21119,21119,100,84,96,0,N
ATLANTIC UNION BK,ATLANTIC UNION BSHRS CORP,82,693224,"RICHMOND, VA",SMB,21056,21056,100,84,108,0,N
TRISTATE CAP BK,RAYMOND JAMES FNCL,83,3475083,"PITTSBURGH, PA",SMB,19450,19450,100,84,0,0,N
ROCKLAND TC,INDEPENDENT BC,84,613008,"ROCKLAND, MA",SNM,19353,19353,100,84,122,0,N
HTLF BK,HEARTLAND FNCL USA,85,3465226,"DENVER, CO",SNM,19335,19335,100,84,117,0,N
BANK OF HOPE,HOPE BC,86,671464,"LOS ANGELES, CA",SNM,19126,19126,100,84,54,0,N
DBA INDEPENDENT FINANCIAL,INDEPENDENT BK GRP,87,122854,"MCKINNEY, TX",SNM,19030,19030,100,85,91,0,N
PACIFIC PREMIER BK,PACIFIC PREMIER BC,88,431172,"IRVINE, CA",SMB,19028,19028,100,85,57,0,N
CENTRAL TR BK,CENTRAL BANCOMPANY INC,89,853952,"JEFFERSON CITY, MO",SMB,19000,19000,100,85,157,0,N
TRUSTMARK NB,TRUSTMARK CORP,90,342634,"JACKSON, MS",NAT,18720,18720,100,85,173,0,N
FIRST MRCHS BK,FIRST MRCHS CORP,91,17147,"MUNCIE, IN",SNM,18299,18299,100,85,116,0,N
WESBANCO BK,WESBANCO,92,645625,"WHEELING, WV",SNM,17686,17686,100,85,191,0,N
MECHANICS BK,2011 TCRT,93,936462,"WALNUT CREEK, CA",SNM,17506,17506,100,85,115,0,N
FIRST FNCL BK,FIRST FNCL BC,94,165628,"CINCINNATI, OH",SMB,17459,17459,100,85,130,0,N
RENASANT BK,RENASANT CORP,95,749242,"TUPELO, MS",SNM,17361,17361,100,85,158,0,N
TOWNEBANK,,96,2797724,"PORTSMOUTH, VA",SNM,16835,16835,100,85,55,0,N
STIFEL B&T,STIFEL FNCL CORP,97,3076248,"SAINT LOUIS, MO",SMB,16774,16774,100,85,1,0,N
MERCHANTS BK OF IN,MERCHANTS BC,98,963945,"CARMEL, IN",SNM,16636,16636,100,85,5,0,N
BREMER BK NA,OTTO BREMER TR,99,800657,"SAINT PAUL, MN",NAT,16311,16311,100,86,70,0,N
FIRST UNITED B&TC,SPEND LIFE WISELY CO,100,509950,"DURANT, OK",SNM,16261,16261,100,86,73,0,N
SERVISFIRST BK,SERVISFIRST BSHRS,101,3348888,"HOMEWOOD, AL",SNM,16129,16129,100,86,28,0,N
CITIZENS BUS BK,CVB FC,102,933966,"ONTARIO, CA",SNM,16027,16027,100,86,61,0,N
NEXBANK,SLHC TR,103,652874,"DALLAS, TX",SNM,15995,15995,100,86,2,0,N
BANNER BK,BANNER CORP,104,352772,"WALLA WALLA, WA",SNM,15668,15668,100,86,137,0,N
BANK OF AMER CA NA,BANK OF AMER CORP,105,1443266,"SAN FRANCISCO, CA",NAT,15440,15440,100,86,0,0,N
COMMUNITY BK NA,COMMUNITY BK SYS,106,202907,"CANTON, NY",NAT,15314,15314,100,86,205,0,N
WELLS FARGO NB WEST,WELLS FARGO & CO,107,1225761,"LAS VEGAS, NV",NAT,14794,14794,100,86,0,0,N
SEACOAST NB,SEACOAST BKG CORP OF FL,108,34537,"STUART, FL",NAT,14572,14572,100,86,77,0,N
ENTERPRISE B&TC,ENTERPRISE FS CORP,109,1190476,"CLAYTON, MO",SNM,14488,14488,100,86,41,0,N
SANDY SPRING BK,SANDY SPRING BC,110,506922,"OLNEY, MD",SMB,14023,14023,100,86,53,0,N
BELL BK,STATE BSHRS,111,929352,"FARGO, ND",SNM,14011,14011,100,86,26,0,N
POPULAR BK,POPULAR,112,2736291,"NEW YORK, NY",SMB,13812,13812,100,86,41,0,N
DIME CMNTY BK,DIME CMNTY BSHRS,113,23504,"BRIDGEHAMPTON, NY",SMB,13623,13623,100,87,59,0,N
OCEANFIRST BK NA,OCEANFIRST FNCL CORP,114,85472,"TOMS RIVER, NJ",NAT,13436,13436,100,87,39,0,N
PLAINSCAPITAL BK,DIAMOND HTH STOCK CO GP LLC,115,637451,"UNIVERSITY PARK, TX",SMB,13407,13407,100,87,58,0,N
FIRST FOUND BK,FIRST FOUND,116,3637685,"IRVINE, CA",SNM,13299,13299,100,87,29,0,N
NBT BK NA,NBT BC,117,702117,"NORWICH, NY",NAT,13218,13218,100,87,153,0,N
FIRST FNCL BK NA,FIRST FNCL BSHRS,118,470050,"ABILENE, TX",NAT,13046,13046,100,87,81,0,N
FIRSTBANK,FB FC,119,436159,"NASHVILLE, TN",SNM,12589,12589,100,87,91,0,N
BERKSHIRE BK,BERKSHIRE HILLS BC,120,473501,"PITTSFIELD, MA",SNM,12425,12425,100,87,96,0,N
VERITEX CMNTY BK,VERITEX HOLD,121,3221468,"DALLAS, TX",SMB,12384,12384,100,87,31,0,N
BUSEY BK,FIRST BUSEY CORP,122,416245,"CHAMPAIGN, IL",SNM,12255,12255,100,87,58,0,N
ISRAEL DISCOUNT BK OF NY,DISCOUNT BC,123,320119,"NEW YORK, NY",SNM,12219,12219,100,87,6,0,Y
FIRST BK,FIRST BC,124,216922,"SOUTHERN PINES, NC",SMB,12115,12115,100,87,117,0,N
FARMERS & MRCH BK,PALOMAR ENT LLC,125,871769,"LONG BEACH, CA",SMB,12036,12036,100,87,25,0,N
STIFEL BK,STIFEL FNCL CORP,126,3076220,"ST. LOUIS, MO",SMB,11965,11965,100,87,0,0,N
EAGLEBANK,EAGLE BC,127,2652092,"BETHESDA, MD",SMB,11611,11611,100,87,13,0,N
WASHINGTON TR BK,WTB FC,128,58971,"SPOKANE, WA",SNM,11436,11436,100,87,41,0,N
FIRST COMMONWEALTH BK,FIRST COMMONWEALTH FNCL CORP,129,42420,"INDIANA, PA",SNM,11410,11410,100,87,126,0,N
LIVE OAK BKG CO,LIVE OAK BSHRS,130,3650808,"WILMINGTON, NC",SNM,11206,11206,100,87,0,0,N
LAKELAND BK,LAKELAND BC,131,687009,"NEWFOUNDLAND, NJ",SNM,11130,11130,100,88,67,0,N
STELLAR BK,STELLAR BC,132,3579589,"HOUSTON, TX",SNM,10637,10637,100,88,53,0,N
SAFRA NB OF NY,SNBNY HOLD,133,918918,"NEW YORK, NY",NAT,10527,10438,99,88,3,0,Y
BANCFIRST,BANCFIRST CORP,134,1386251,"OKLAHOMA CITY, OK",SMB,10474,10474,100,88,110,0,N
NBH BK,NATIONAL BK HOLDS CORP,135,4210227,"GREENWOOD VILLAGE, CO",SMB,9915,9915,100,88,92,0,N
TRI CTY BK,TRICO BSHRS,136,100562,"CHICO, CA",SNM,9907,9907,100,88,75,0,N
CONNECTONE BK,CONNECTONE BC,137,3317932,"ENGLEWOOD CLIFFS, NJ",SNM,9848,9848,100,88,23,0,N
PARK NB,PARK NAT CORP,138,489623,"NEWARK, OH",NAT,9799,9799,100,88,90,0,N
AMERANT BK NA,AMERANT BC,139,83638,"CORAL GABLES, FL",NAT,9694,9694,100,88,23,0,N
ORIGIN BK,ORIGIN BC,140,667757,"CHOUDRANT, LA",SMB,9657,9657,100,88,60,0,N
S&T BK,S&T BC,141,936426,"INDIANA, PA",SNM,9546,9546,100,88,72,0,N
WINTRUST BK NA,WINTRUST FC,142,2239288,"CHICAGO, IL",NAT,9541,9541,100,88,34,0,N
HOMESTREET BK,HOMESTREET,143,258771,"SEATTLE, WA",SNM,9378,9378,100,88,57,0,N
AMARILLO NB,AMARILLO NAT BC,144,353555,"AMARILLO, TX",NAT,9165,9165,100,88,31,0,N
PEOPLES BK,PEOPLES BC,145,577128,"MARIETTA, OH",SMB,9141,9141,100,88,134,0,N
WOODFOREST NB,WOODFOREST FNCL GRP ESOP W 401,146,412751,"THE WOODLANDS, TX",NAT,9081,9081,100,88,768,0,N
INTERNATIONAL BK OF CMRC,INTERNATIONAL BSHRS CORP,147,1001152,"LAREDO, TX",SNM,8979,8979,100,88,73,0,N
BYLINE BK,BYLINE BC,148,129732,"CHICAGO, IL",SNM,8870,8870,100,88,51,0,N
1ST SOURCE BK,1ST SOURCE CORP,149,991340,"SOUTH BEND, IN",SMB,8726,8726,100,88,78,0,N
CROSS RIVER BK,CRB GRP,150,3783313,"FORT LEE, NJ",SNM,8726,8717,100,88,2,0,N
CENTIER BK,FIRST BSHRS,151,783648,"MERRILLVILLE, IN",SNM,8718,8718,100,88,57,0,N
COMENITY BK,,152,1391778,"WILMINGTON, DE",SNM,8681,8681,100,88,0,0,N
LENDINGCLUB BK NA,LENDINGCLUB CORP,153,264772,"LEHI, UT",NAT,8611,8611,100,88,1,0,N
PREMIER BK,PREMIER FNCL CORP,154,981275,"YOUNGSTOWN, OH",SNM,8603,8603,100,89,74,0,N
FLUSHING BK,FLUSHING FC,155,959304,"UNIONDALE, NY",SNM,8536,8536,100,89,27,0,N
NICOLET NB,NICOLET BSHRS,156,2941068,"GREEN BAY, WI",NAT,8453,8453,100,89,54,0,N
UNION B&TC,FARMERS & MRCH INV,157,450856,"LINCOLN, NE",SNM,8356,8356,100,89,37,0,N
SOUTHSIDE BK,SOUTHSIDE BSHRS,158,361167,"TYLER, TX",SNM,8279,8279,100,89,58,0,N
LUTHER BURBANK SVG,LUTHER BURBANK CORP,159,497570,"SANTA ROSA, CA",SNM,8229,8229,100,89,10,0,N
PINNACLE BK,PINNACLE BC,160,913856,"LINCOLN, NE",SNM,8202,8202,100,89,73,0,N
STOCK YARDS B&TC,STOCK YARDS BC,161,317342,"LOUISVILLE, KY",SNM,8166,8166,100,89,71,0,N
