Bank Name,Holding Company,Rank,Bank ID,Location,Charter,Consol Assets ($M),Domestic Assets ($M),Domestic %,Cuml %,Branches Domestic,Branches Foreign,Foreign Exposure (Y/N)
GOLDMAN SACHS BK USA,GOLDMAN SACHS GROUP THE,8,2182786,"NEW YORK, NY",SMB,490799,413237,84,52,2,2,N
CAPITAL ONE NA,CAPITAL ONE FC,9,112837,"MC LEAN, VA",NAT,469432,468891,100,54,292,1,N
BANK OF NY MELLON,BANK OF NY MELLON CORP,11,541101,"NEW YORK, NY",SMB,341455,245849,72,58,2,15,Y
STATE STREET B&TC,STATE STREET CORP,12,35301,"BOSTON, MA",SMB,287069,205426,72,59,2,10,N
FIRST REPUBLIC BK,,14,4114567,"SAN FRANCISCO, CA",SNM,232944,232944,100,61,72,0,N
FIRST-CITIZENS B&TC,FIRST CITIZENS BSHRS,16,491224,"RALEIGH, NC",SNM,214599,214547,100,63,566,0,N
MORGAN STANLEY BK NA,MORGAN STANLEY,18,1456501,"SALT LAKE CITY, UT",NAT,205845,205845,100,65,0,0,N
MORGAN STANLEY PRIV BK NA,MORGAN STANLEY,20,2489805,"PURCHASE, NY",NAT,195667,195667,100,67,0,0,N
KEYBANK NA,KEYCORP,21,280110,"CLEVELAND, OH",NAT,195191,195189,100,68,989,0,N
ALLY BK,ALLY FNCL,23,3284070,"SANDY, UT",SMB,186383,186383,100,70,0,0,N
AMERICAN EXPRESS NB,AMERICAN EXPRESS CO,24,1394676,"SANDY, UT",NAT,165450,165450,100,71,0,0,N
HSBC BK USA NA,HSBC N AMER HOLDS,25,413208,"TYSONS, VA",NAT,164492,164491,100,71,21,3,Y
NORTHERN TC,NORTHERN TR CORP,27,210434,"CHICAGO, IL",SMB,150573,109416,73,73,55,5,Y
DISCOVER BK,DISCOVER FS,28,30810,"GREENWOOD, DE",SNM,130703,130703,100,73,0,0,N
FLAGSTAR BK NA,NEW YORK CMNTY BC,29,694904,"HICKSVILLE, NY",NAT,123633,123633,100,74,402,0,N
SANTANDER BK NA,SANTANDER HOLDS USA,30,722777,"WILMINGTON, DE",NAT,105314,105303,100,74,467,0,N
MUFG UNION BK NA,U S BC,31,212465,"SAN FRANCISCO, CA",NAT,99964,99964,100,75,293,0,Y
CITY NB,RBC US GRP HOLDS LLC,32,63069,"LOS ANGELES, CA",NAT,96370,96370,100,75,69,0,N
COMERICA BK,COMERICA,33,60143,"DALLAS, TX",SMB,91259,90836,100,76,410,1,N
ZIONS BC NA,,34,276579,"SALT LAKE CITY, UT",NAT,88574,88574,100,76,429,0,N
FIRST HORIZON BK,FIRST HORIZON CORP,35,485559,"MEMPHIS, TN",SMB,80465,80465,100,76,418,0,N
WEBSTER BK NA,WEBSTER FNCL CORP,36,761806,"STAMFORD, CT",NAT,74793,74793,100,77,202,0,N
WESTERN ALLI BK,WESTERN ALLI BC,37,3138146,"PHOENIX, AZ",SMB,70986,70986,100,77,38,0,N
EAST WEST BK,EAST WEST BC,38,197478,"PASADENA, CA",SMB,67219,64441,96,77,101,1,N
VALLEY NB,VALLEY NAT BC,39,229801,"PASSAIC, NJ",NAT,64314,64314,100,78,231,0,N
SYNOVUS BK,SYNOVUS FC,40,395238,"COLUMBUS, GA",SMB,61726,61726,100,78,244,0,N
UMPQUA BK,COLUMBIA BKG SYS,41,143662,"LAKE OSWEGO, OR",SNM,53986,53986,100,78,345,0,N
CIBC BK USA,CIBC BC USA,42,1842065,"CHICAGO, IL",SNM,52146,52146,100,78,22,0,N
CADENCE BK,,43,606046,"TUPELO, MS",SNM,51693,51693,100,79,416,0,N
FROST BK,CULLEN/FROST BKR,44,682563,"SAN ANTONIO, TX",SMB,51286,51286,100,79,186,0,N
OLD NB,OLD NAT BC,45,208244,"EVANSVILLE, IN",NAT,47554,47554,100,79,262,0,Y
BOKF NA,BOK FC,46,339858,"TULSA, OK",NAT,45269,45269,100,79,111,0,N
PINNACLE BK,PINNACLE FNCL PTNR,47,2925666,"NASHVILLE, TN",SNM,44988,44988,100,80,124,0,N
SOUTHSTATE BK NA,SOUTHSTATE CORP,48,1929247,"WINTER HAVEN, FL",NAT,44903,44903,100,80,250,0,N
PACIFIC WESTERN BK,PACWEST BC,49,494261,"BEVERLY HILLS, CA",SNM,44255,44255,100,80,68,0,N
FIRST NB OF PA,FNB CORP,50,379920,"GREENVILLE, PA",NAT,44132,44132,100,80,348,0,N
RAYMOND JAMES BK,RAYMOND JAMES FNCL,51,2193616,"SAINT PETERSBURG, FL",SMB,43359,43082,99,80,0,0,N
ASSOCIATED BK NA,ASSOCIATED BANC-CORP,52,917742,"GREEN BAY, WI",NAT,40653,40653,100,81,205,0,N
UMB BK NA,UMB FC,53,936855,"KANSAS CITY, MO",NAT,40354,40354,100,81,92,0,N
PROSPERITY BK,PROSPERITY BSHRS,54,664756,"EL CAMPO, TX",SNM,37829,37829,100,81,285,0,N
HANCOCK WHITNEY BK,HANCOCK WHITNEY CORP,55,463735,"GULFPORT, MS",SNM,37525,37525,100,81,182,0,N
BARCLAYS BK DE,BARCLAYS US LLC,56,2980209,"WILMINGTON, DE",SNM,37352,37352,100,81,0,0,N
BANKUNITED NA,BANKUNITED,57,3938186,"MIAMI LAKES, FL",NAT,37095,37095,100,81,59,0,N
T D BK USA NA,TD GRP US HOLDS LLC,58,2121196,"WILMINGTON, DE",NAT,36460,36460,100,82,1,0,N
DEUTSCHE BK TC AMERICAS,DB USA CORP,59,214807,"NEW YORK, NY",SMB,36103,36103,100,82,0,0,N
BNY MELLON NA,BANK OF NY MELLON CORP,60,934329,"PITTSBURGH, PA",NAT,31945,31945,100,82,0,0,N
COMMERCE BK,COMMERCE BSHRS,61,601050,"KANSAS CITY, MO",SMB,31853,31853,100,82,147,0,N
FIRST INTRST BK,FIRST INTRST BANCSYSTEM,62,659855,"BILLINGS, MT",SMB,31565,31565,100,82,306,0,N
UNITED BK,UNITED BSHRS,63,365325,"FAIRFAX, VA",SMB,30108,30108,100,82,220,0,N
BANK OZK,,64,107244,"LITTLE ROCK, AR",SNM,28971,28971,100,82,231,0,N
FIRSTBANK,REISHER FAM FOUND,65,288853,"LAKEWOOD, CO",SMB,28764,28764,100,83,101,0,N
TEXAS CAP BK,TEXAS CAP BSHRS,66,2618780,"DALLAS, TX",SNM,28592,28592,100,83,10,0,N
FIRST NB OF OMAHA,LAURITZEN CORP,67,527954,"OMAHA, NE",NAT,28393,28393,100,83,123,0,N
GLACIER BK,GLACIER BC,68,2634191,"KALISPELL, MT",SNM,27785,27785,100,83,199,0,N
SIMMONS BK,SIMMONS FIRST NAT CORP,69,663245,"PINE BLUFF, AR",SMB,27538,27538,100,83,237,0,N
FULTON BK NA,FULTON FNCL CORP,70,474919,"LANCASTER, PA",NAT,26996,26996,100,83,209,0,N
ARVEST BK,ARVEST BK GRP,71,311845,"FAYETTEVILLE, AR",SMB,26946,26946,100,83,228,0,N
CITY NB OF FL,BCI FNCL GRP,72,814430,"MIAMI, FL",NAT,26204,26204,100,83,31,0,N
AMERIS BK,AMERIS BC,73,764030,"ATLANTA, GA",SNM,25991,25991,100,84,164,0,N
UNITED CMNTY BK,UNITED CMNTY BK,74,1017939,"GREENVILLE, SC",SNM,25815,25815,100,84,197,0,N
FIRST HAWAIIAN BK,FIRST HAWAIIAN,75,980661,"HONOLULU, HI",SNM,24883,24257,97,84,50,0,Y
BANK OF HAWAII,BANK OF HI CORP,76,795968,"HONOLULU, HI",SMB,23904,23226,97,84,50,1,Y
EASTERN BK,EASTERN BSHRS,77,128904,"BOSTON, MA",SNM,22702,22702,100,84,97,0,N
CENTENNIAL BK,HOME BSHRS,78,456045,"CONWAY, AR",SMB,22452,22452,100,84,227,0,N
WASHINGTON FED BK,WASHINGTON FED INC,79,656377,"SEATTLE, WA",SNM,22320,22320,100,84,200,0,N
CATHAY BK,CATHAY GEN BC,80,595869,"LOS ANGELES, CA",SNM,22016,21782,99,84,63,1,N
CUSTOMERS BK,CUSTOMERS BC,81,2354985,"MALVERN, PA",SMB,21768,21768,100,84,7,0,N
PACIFIC PREMIER BK,PACIFIC PREMIER BC,82,431172,"IRVINE, CA",SMB,21362,21362,100,85,58,0,N
STIFEL B&T,STIFEL FNCL CORP,83,3076248,"SAINT LOUIS, MO",SMB,20969,20969,100,85,1,0,N
BANK OF HOPE,HOPE BC,84,671464,"LOS ANGELES, CA",SNM,20564,20564,100,85,53,0,N
ATLANTIC UNION BK,ATLANTIC UNION BSHRS CORP,85,693224,"RICHMOND, VA",SMB,19990,19990,100,85,108,0,N
ROCKLAND TC,INDEPENDENT BC,86,613008,"ROCKLAND, MA",SNM,19445,19445,100,85,123,0,N
TRUSTMARK NB,TRUSTMARK CORP,87,342634,"JACKSON, MS",NAT,18875,18875,100,85,172,0,N
