Bank Name,Holding Company,Rank,Bank ID,Location,Charter,Consol Assets ($M),Domestic Assets ($M),Domestic %,Cuml %,Branches Domestic,Branches Foreign,Foreign Exposure (Y/N)
GOLDMAN SACHS BK USA,GOLDMAN SACHS GROUP THE,7,2182786,"NEW YORK, NY",SMB,538127,463989,86,51,2,2,N
CAPITAL ONE NA,CAPITAL ONE FC,9,112837,"MC LEAN, VA",NAT,468780,468225,100,55,283,1,N
BANK OF NY MELLON,BANK OF NY MELLON CORP,11,541101,"NEW YORK, NY",SMB,328468,237342,72,59,1,15,Y
STATE STREET B&TC,STATE STREET CORP,12,35301,"BOSTON, MA",SMB,280469,213987,76,60,2,10,N
FIRST-CITIZENS B&TC,FIRST CITIZENS BSHRS,15,491224,"RALEIGH, NC",SNM,213643,213592,100,63,559,0,N
MANUFACTURERS & TRADERS TC,M&T BK CORP,17,501105,"BUFFALO, NY",SMB,208606,208606,100,65,999,1,Y
MORGAN STANLEY BK NA,MORGAN STANLEY,18,1456501,"SALT LAKE CITY, UT",NAT,207376,207376,100,66,0,0,N
MORGAN STANLEY PRIV BK NA,MORGAN STANLEY,19,2489805,"PURCHASE, NY",NAT,198523,198523,100,67,0,0,N
ALLY BK,ALLY FNCL,21,3284070,"SANDY, UT",SMB,185721,185721,100,69,0,0,N
KEYBANK NA,KEYCORP,22,280110,"CLEVELAND, OH",NAT,185571,185568,100,70,979,0,N
AMERICAN EXPRESS NB,AMERICAN EXPRESS CO,23,1394676,"SANDY, UT",NAT,174798,174798,100,70,0,0,N
HSBC BK USA NA,HSBC N AMER HOLDS,24,413208,"TYSONS, VA",NAT,161304,161304,100,71,20,3,Y
NORTHERN TC,NORTHERN TR CORP,26,210434,"CHICAGO, IL",SMB,145817,103373,71,73,55,4,Y
DISCOVER BK,DISCOVER FS,27,30810,"GREENWOOD, DE",SNM,141235,141235,100,73,0,0,N
FLAGSTAR BK NA,NEW YORK CMNTY BC,28,694904,"HICKSVILLE, NY",NAT,111167,111167,100,74,436,0,N
SANTANDER BK NA,SANTANDER HOLDS USA,29,722777,"WILMINGTON, DE",NAT,98569,98556,100,74,414,0,N
CITY NB,RBC US GRP HOLDS LLC,30,63069,"LOS ANGELES, CA",NAT,96839,96839,100,75,69,0,N
ZIONS BC NA,,31,276579,"SALT LAKE CITY, UT",NAT,87269,87269,100,75,430,0,N
COMERICA BK,COMERICA,32,60143,"DALLAS, TX",SMB,85808,85449,100,75,407,1,N
FIRST HORIZON BK,FIRST HORIZON CORP,33,485559,"MEMPHIS, TN",SMB,82238,82238,100,76,419,0,N
WEBSTER BK NA,WEBSTER FNCL CORP,34,761806,"STAMFORD, CT",NAT,73063,73063,100,76,199,0,N
WESTERN ALLI BK,WESTERN ALLI BC,35,3138146,"PHOENIX, AZ",SMB,70542,70542,100,76,38,0,N
EAST WEST BK,EAST WEST BC,36,197478,"PASADENA, CA",SMB,68154,65225,96,77,100,1,N
VALLEY NB,VALLEY NAT BC,37,229801,"PASSAIC, NJ",NAT,61186,61186,100,77,232,0,N
SYNOVUS BK,SYNOVUS FC,38,395238,"COLUMBUS, GA",SMB,59211,59211,100,77,244,0,N
CIBC BK USA,CIBC BC USA,39,1842065,"CHICAGO, IL",SNM,52343,52343,100,78,23,0,N
UMPQUA BK,COLUMBIA BKG SYS,40,143662,"LAKE OSWEGO, OR",SNM,51974,51974,100,78,299,0,N
FROST BK,CULLEN/FROST BKR,41,682563,"SAN ANTONIO, TX",SMB,48799,48799,100,78,191,0,N
OLD NB,OLD NAT BC,42,208244,"EVANSVILLE, IN",NAT,48759,48759,100,78,262,0,Y
BOKF NA,BOK FC,43,339858,"TULSA, OK",NAT,48682,48682,100,78,111,0,N
CADENCE BK,,44,606046,"TUPELO, MS",SNM,48523,48523,100,79,416,0,N
PINNACLE BK,PINNACLE FNCL PTNR,45,2925666,"NASHVILLE, TN",SNM,47374,47374,100,79,127,0,N
FIRST NB OF PA,FNB CORP,46,379920,"GREENVILLE, PA",NAT,45597,45597,100,79,345,0,N
SOUTHSTATE BK NA,SOUTHSTATE CORP,47,1929247,"WINTER HAVEN, FL",NAT,44976,44976,100,79,250,0,N
RAYMOND JAMES BK,RAYMOND JAMES FNCL,48,2193616,"SAINT PETERSBURG, FL",SMB,42022,41719,99,80,0,0,N
ASSOCIATED BK NA,ASSOCIATED BANC-CORP,49,917742,"GREEN BAY, WI",NAT,41588,41588,100,80,202,0,N
UMB BK NA,UMB FC,50,936855,"KANSAS CITY, MO",NAT,41191,41191,100,80,92,0,N
PROSPERITY BK,PROSPERITY BSHRS,51,664756,"EL CAMPO, TX",SNM,39299,39299,100,80,298,0,N
BARCLAYS BK DE,BARCLAYS US LLC,52,2980209,"WILMINGTON, DE",SNM,38405,38405,100,80,0,0,N
DEUTSCHE BK TC AMERICAS,DB USA CORP,53,214807,"NEW YORK, NY",SMB,38079,38079,100,80,0,0,N
PACIFIC WESTERN BK,PACWEST BC,54,494261,"BEVERLY HILLS, CA",SNM,36712,36712,100,81,68,0,N
HANCOCK WHITNEY BK,HANCOCK WHITNEY CORP,55,463735,"GULFPORT, MS",SNM,36273,36273,100,81,182,0,N
T D BK USA NA,TD GRP US HOLDS LLC,56,2121196,"WILMINGTON, DE",NAT,35607,35607,100,81,1,0,N
BANKUNITED NA,BANKUNITED,57,3938186,"MIAMI LAKES, FL",NAT,35340,35340,100,81,58,0,N
EVERBANK NA,EVERBANK FNCL CORP,58,2735146,"JACKSONVILLE, FL",NAT,34631,34631,100,81,9,0,N
BANK OZK,,59,107244,"LITTLE ROCK, AR",SNM,32767,32767,100,81,231,0,N
COMMERCE BK,COMMERCE BSHRS,60,601050,"KANSAS CITY, MO",SMB,31204,31204,100,82,142,0,N
FIRST INTRST BK,FIRST INTRST BANCSYSTEM,61,659855,"BILLINGS, MT",SMB,30469,30469,100,82,304,0,N
BNY MELLON NA,BANK OF NY MELLON CORP,62,934329,"PITTSBURGH, PA",NAT,30403,30403,100,82,0,0,N
FIRST NB OF OMAHA,LAURITZEN CORP,63,527954,"OMAHA, NE",NAT,29968,29968,100,82,122,0,N
TEXAS CAP BK,TEXAS CAP BSHRS,64,2618780,"DALLAS, TX",SNM,29583,29583,100,82,10,0,N
UNITED BK,UNITED BSHRS,65,365325,"FAIRFAX, VA",SMB,29156,29156,100,82,219,0,N
FIRSTBANK,REISHER FAM FOUND,66,288853,"LAKEWOOD, CO",SMB,28186,28186,100,82,100,0,N
GLACIER BK,GLACIER BC,67,2634191,"KALISPELL, MT",SNM,28045,28045,100,83,199,0,N
SIMMONS BK,SIMMONS FIRST NAT CORP,68,663245,"PINE BLUFF, AR",SMB,27524,27524,100,83,239,0,N
