Bank Name,Holding Company,Rank,Bank ID,Location,Charter,Consol Assets ($M),Domestic Assets ($M),Domestic %,Cuml %,Branches Domestic,Branches Foreign,Foreign Exposure (Y/N)
ARVEST BK,ARVEST BK GRP,69,311845,"FAYETTEVILLE, AR",SMB,27392,27392,100,83,224,0,N
FULTON BK NA,FULTON FNCL CORP,70,474919,"LANCASTER, PA",NAT,27247,27247,100,83,205,0,N
UNITED CMNTY BK,UNITED CMNTY BK,71,1017939,"GREENVILLE, SC",SNM,26799,26799,100,83,197,0,N
CITY NB OF FL,BCI FNCL GRP,72,814430,"MIAMI, FL",NAT,26039,26039,100,83,31,0,N
AMERIS BK,AMERIS BC,73,764030,"ATLANTA, GA",SNM,25607,25607,100,83,164,0,N
FIRST HAWAIIAN BK,FIRST HAWAIIAN,74,980661,"HONOLULU, HI",SNM,24913,24270,97,83,49,0,Y
BANK OF HAWAII,BANK OF HI CORP,75,795968,"HONOLULU, HI",SMB,23521,22873,97,83,50,1,Y
CATHAY BK,CATHAY GEN BC,76,595869,"LOS ANGELES, CA",SNM,22825,22517,99,84,63,1,N
WASHINGTON FED BK,WAFD,77,656377,"SEATTLE, WA",SNM,22461,22461,100,84,198,0,N
CENTENNIAL BK,HOME BSHRS,78,456045,"CONWAY, AR",SMB,21880,21880,100,84,227,0,N
CUSTOMERS BK,CUSTOMERS BC,79,2354985,"MALVERN, PA",SMB,21849,21849,100,84,6,0,N
SOFI BK NA,SOFI TECHS,80,962966,"COTTONWOOD HEIGHTS, UT",NAT,21509,21509,100,84,3,0,N
EASTERN BK,EASTERN BSHRS,81,128904,"BOSTON, MA",SNM,21127,21127,100,84,96,0,N
ATLANTIC UNION BK,ATLANTIC UNION BSHRS CORP,82,693224,"RICHMOND, VA",SMB,20620,20620,100,84,108,0,N
PACIFIC PREMIER BK,PACIFIC PREMIER BC,83,431172,"IRVINE, CA",SMB,20274,20274,100,84,57,0,N
BANK OF HOPE,HOPE BC,84,671464,"LOS ANGELES, CA",SNM,20071,20071,100,84,53,0,N
ROCKLAND TC,INDEPENDENT BC,85,613008,"ROCKLAND, MA",SNM,19380,19380,100,84,122,0,N
STIFEL B&T,STIFEL FNCL CORP,86,3076248,"SAINT LOUIS, MO",SMB,19190,19190,100,85,1,0,N
CENTRAL TR BK,CENTRAL BANCOMPANY INC,87,853952,"JEFFERSON CITY, MO",SMB,18536,18536,100,85,157,0,N
DBA INDEPENDENT FINANCIAL,INDEPENDENT BK GRP,88,122854,"MCKINNEY, TX",SNM,18514,18514,100,85,91,0,N
TRUSTMARK NB,TRUSTMARK CORP,89,342634,"JACKSON, MS",NAT,18388,18388,100,85,172,0,N
HTLF BK,HEARTLAND FNCL USA,90,3465226,"DENVER, CO",SNM,18254,18254,100,85,107,0,N
FIRST MRCHS BK,FIRST MRCHS CORP,91,17147,"MUNCIE, IN",SNM,17981,17981,100,85,118,0,N
TRISTATE CAP BK,RAYMOND JAMES FNCL,92,3475083,"PITTSBURGH, PA",SMB,17932,17932,100,85,0,0,N
MECHANICS BK,2011 TCRT,93,936462,"WALNUT CREEK, CA",SNM,17838,17838,100,85,115,0,N
WESBANCO BK,WESBANCO,94,645625,"WHEELING, WV",SNM,17303,17303,100,85,191,0,N
RENASANT BK,RENASANT CORP,95,749242,"TUPELO, MS",SNM,17188,17188,100,85,157,0,N
FIRST FNCL BK,FIRST FNCL BC,96,165628,"CINCINNATI, OH",SMB,16977,16977,100,85,130,0,N
TOWNEBANK,,97,2797724,"PORTSMOUTH, VA",SNM,16680,16680,100,85,54,0,N
BREMER BK NA,OTTO BREMER TR,98,800657,"SAINT PAUL, MN",NAT,16267,16267,100,86,70,0,N
MERCHANTS BK OF IN,MERCHANTS BC,99,963945,"CARMEL, IN",SNM,16170,16170,100,86,5,0,N
SERVISFIRST BK,SERVISFIRST BSHRS,100,3348888,"HOMEWOOD, AL",SNM,16043,16043,100,86,28,0,N
FIRST UNITED B&TC,SPEND LIFE WISELY CO,101,509950,"DURANT, OK",SNM,15971,15971,100,86,73,0,N
CITIZENS BUS BK,CVB FC,102,933966,"ONTARIO, CA",SNM,15902,15902,100,86,61,0,N
NEXBANK,SLHC TR,103,652874,"DALLAS, TX",SNM,15808,15808,100,86,2,0,N
BANNER BK,BANNER CORP,104,352772,"WALLA WALLA, WA",SNM,15504,15504,100,86,137,0,N
WELLS FARGO NB WEST,WELLS FARGO & CO,105,1225761,"LAS VEGAS, NV",NAT,15433,15433,100,86,0,0,N
BANK OF AMER CA NA,BANK OF AMER CORP,106,1443266,"SAN FRANCISCO, CA",NAT,15156,15156,100,86,0,0,N
COMMUNITY BK NA,COMMUNITY BK SYS,107,202907,"CANTON, NY",NAT,15153,15153,100,86,205,0,N
SEACOAST NB,SEACOAST BKG CORP OF FL,108,34537,"STUART, FL",NAT,14815,14815,100,86,77,0,N
SANDY SPRING BK,SANDY SPRING BC,109,506922,"OLNEY, MD",SMB,14130,14130,100,86,54,0,N
ENTERPRISE B&TC,ENTERPRISE FS CORP,110,1190476,"CLAYTON, MO",SNM,13995,13995,100,86,41,0,N
BELL BK,STATE BSHRS,111,929352,"FARGO, ND",SNM,13839,13839,100,86,26,0,N
NBT BK NA,NBT BC,112,702117,"NORWICH, NY",NAT,13740,13740,100,87,153,0,N
DIME CMNTY BK,DIME CMNTY BSHRS,113,23504,"BRIDGEHAMPTON, NY",SMB,13635,13635,100,87,59,0,N
PLAINSCAPITAL BK,DIAMOND HTH STOCK CO GP LLC,114,637451,"UNIVERSITY PARK, TX",SMB,13428,13428,100,87,59,0,N
OCEANFIRST BK NA,OCEANFIRST FNCL CORP,115,85472,"TOMS RIVER, NJ",NAT,13392,13392,100,87,38,0,N
FIRST FOUND BK,FIRST FOUND,116,3637685,"IRVINE, CA",SNM,13019,13019,100,87,29,0,N
POPULAR BK,POPULAR,117,2736291,"NEW YORK, NY",SMB,12806,12806,100,87,40,0,N
FIRST FNCL BK NA,FIRST FNCL BSHRS,118,470050,"ABILENE, TX",NAT,12720,12720,100,87,81,0,N
FIRSTBANK,FB FC,119,436159,"NASHVILLE, TN",SNM,12470,12470,100,87,91,0,N
FARMERS & MRCH BK,PALOMAR ENT LLC,120,871769,"LONG BEACH, CA",SMB,12464,12464,100,87,25,0,N
ISRAEL DISCOUNT BK OF NY,DISCOUNT BC,121,320119,"NEW YORK, NY",SNM,12443,12443,100,87,6,0,Y
VERITEX CMNTY BK,VERITEX HOLD,122,3221468,"DALLAS, TX",SMB,12337,12337,100,87,31,0,N
BUSEY BK,FIRST BUSEY CORP,123,416245,"CHAMPAIGN, IL",SNM,12228,12228,100,87,58,0,N
BERKSHIRE BK,BERKSHIRE HILLS BC,124,473501,"PITTSFIELD, MA",SNM,12133,12133,100,87,96,0,N
FIRST BK,FIRST BC,125,216922,"SOUTHERN PINES, NC",SMB,11978,11978,100,87,117,0,N
FIRST COMMONWEALTH BK,FIRST COMMONWEALTH FNCL CORP,126,42420,"INDIANA, PA",SNM,11393,11393,100,87,126,0,N
WASHINGTON TR BK,WTB FC,127,58971,"SPOKANE, WA",SNM,11349,11349,100,87,41,0,N
LAKELAND BK,LAKELAND BC,128,687009,"NEWFOUNDLAND, NJ",SNM,11169,11169,100,87,67,0,N
EAGLEBANK,EAGLE BC,129,2652092,"BETHESDA, MD",SMB,11111,11111,100,87,13,0,N
LIVE OAK BKG CO,LIVE OAK BSHRS,130,3650808,"WILMINGTON, NC",SNM,10866,10866,100,88,0,0,N
STELLAR BK,STELLAR BC,131,3579589,"HOUSTON, TX",SNM,10655,10655,100,88,54,0,N
BANCFIRST,BANCFIRST CORP,132,1386251,"OKLAHOMA CITY, OK",SMB,10230,10230,100,88,110,0,N
PARK NB,PARK NAT CORP,133,489623,"NEWARK, OH",NAT,9960,9960,100,88,90,0,N
TRI CTY BK,TRICO BSHRS,134,100562,"CHICO, CA",SNM,9894,9894,100,88,75,0,N
STIFEL BK,STIFEL FNCL CORP,135,3076220,"ST. LOUIS, MO",SMB,9853,9853,100,88,0,0,N
NBH BK,NATIONAL BK HOLDS CORP,136,4210227,"GREENWOOD VILLAGE, CO",SMB,9830,9830,100,88,96,0,N
CONNECTONE BK,CONNECTONE BC,137,3317932,"ENGLEWOOD CLIFFS, NJ",SNM,9672,9672,100,88,23,0,N
ORIGIN BK,ORIGIN BC,138,667757,"CHOUDRANT, LA",SMB,9670,9670,100,88,61,0,N
S&T BK,S&T BC,139,936426,"INDIANA, PA",SNM,9460,9460,100,88,72,0,N
HOMESTREET BK,HOMESTREET,140,258771,"SEATTLE, WA",SNM,9453,9453,100,88,57,0,N
WINTRUST BK NA,WINTRUST FC,141,2239288,"CHICAGO, IL",NAT,9429,9429,100,88,34,0,N
SAFRA NB OF NY,SNBNY HOLD,142,918918,"NEW YORK, NY",NAT,9394,9300,99,88,2,0,Y
AMERANT BK NA,AMERANT BC,143,83638,"CORAL GABLES, FL",NAT,9329,9329,100,88,23,0,N
WOODFOREST NB,WOODFOREST FNCL GRP ESOP W 401,144,412751,"THE WOODLANDS, TX",NAT,9260,9260,100,88,768,0,N
BANC OF CA NA,BANC OF CA,145,200378,"SANTA ANA, CA",NAT,9239,9239,100,88,26,0,N
BYLINE BK,BYLINE BC,146,129732,"CHICAGO, IL",SNM,8933,8933,100,88,51,0,N
PEOPLES BK,PEOPLES BC,147,577128,"MARIETTA, OH",SMB,8920,8920,100,88,133,0,N
INTERNATIONAL BK OF CMRC,INTERNATIONAL BSHRS CORP,148,1001152,"LAREDO, TX",SNM,8887,8887,100,88,73,0,N
AMARILLO NB,AMARILLO NAT BC,149,353555,"AMARILLO, TX",NAT,8788,8788,100,88,31,0,N
FLUSHING BK,FLUSHING FC,150,959304,"UNIONDALE, NY",SNM,8576,8576,100,88,27,0,N
PREMIER BK,PREMIER FNCL CORP,151,981275,"YOUNGSTOWN, OH",SNM,8531,8531,100,88,74,0,N
1ST SOURCE BK,1ST SOURCE CORP,152,991340,"SOUTH BEND, IN",SMB,8522,8522,100,88,79,0,N
NICOLET NB,NICOLET BSHRS,153,2941068,"GREEN BAY, WI",NAT,8401,8401,100,89,54,0,N
CROSS RIVER BK,CRB GRP,154,3783313,"FORT LEE, NJ",SNM,8296,8292,100,89,2,0,N
UNION B&TC,FARMERS & MRCH INV,155,450856,"LINCOLN, NE",SNM,8268,8268,100,89,37,0,N
PINNACLE BK,PINNACLE BC,156,913856,"LINCOLN, NE",SNM,8244,8244,100,89,74,0,N
COMENITY BK,,157,1391778,"WILMINGTON, DE",SNM,8227,8227,100,89,0,0,N
LENDINGCLUB BK NA,LENDINGCLUB CORP,158,264772,"LEHI, UT",NAT,8207,8207,100,89,1,0,N
CENTIER BK,FIRST BSHRS,159,783648,"MERRILLVILLE, IN",SNM,8187,8187,100,89,56,0,N
LAKE FOREST B&TC NA,WINTRUST FC,160,1917301,"LAKE FOREST, IL",NAT,8162,7617,93,89,8,0,N
LUTHER BURBANK SVG,LUTHER BURBANK CORP,161,497570,"SANTA ROSA, CA",SNM,8131,8131,100,89,10,0,N
SOUTHSIDE BK,SOUTHSIDE BSHRS,162,361167,"TYLER, TX",SNM,7968,7968,100,89,58,0,N
MIDLAND ST BK,MIDLAND STATES BANCORP,163,773247,"EFFINGHAM, IL",SMB,7966,7966,100,89,56,0,N
HORIZON BK,HORIZON BC,164,130541,"MICHIGAN CITY, IN",SNM,7938,7938,100,89,75,0,N
AMALGAMATED BK,WORKERS UNITED,165,661308,"NEW YORK, NY",SNM,7919,7919,100,89,6,0,N
STOCK YARDS B&TC,STOCK YARDS BC,166,317342,"LOUISVILLE, KY",SNM,7902,7902,100,89,71,0,N
FIRST BK,FIRST BSHRS,167,2385514,"HATTIESBURG, MS",SMB,7875,7875,100,89,109,0,N
UNIVEST B&TC,UNIVEST FC,168,354310,"SOUDERTON, PA",SMB,7811,7811,100,89,54,0,N
SUNFLOWER BK NA,FIRSTSUN CAP BC,169,474759,"DENVER, CO",NAT,7742,7742,100,89,71,0,N
TOMPKINS CMNTY BK,TOMPKINS FNCL CORP,170,433608,"ITHACA, NY",SNM,7657,7657,100,89,59,0,N
CENTRAL PACIFIC BK,CENTRAL PACIFIC FC,171,701062,"HONOLULU, HI",SNM,7624,7624,100,89,27,0,N
BANKPLUS,BANCPLUS CORP,172,121642,"BELZONI, MS",SNM,7585,7585,100,89,96,0,N
FIRST SECURITY BK,FIRST SECURITY BANCORP,173,673440,"SEARCY, AR",SMB,7544,7544,100,89,76,0,N
PATHWARD NA,PATHWARD FNCL,174,435077,"SIOUX FALLS, SD",NAT,7531,7531,100,89,0,0,N
BANCORP BK NA,BANCORP,175,2858960,"SIOUX FALLS, SD",NAT,7457,7457,100,89,0,0,N
HANMI BK,HANMI FC,176,657365,"LOS ANGELES, CA",SNM,7320,7320,100,89,35,0,N
WASHINGTON TC OF WESTERLY,WASHINGTON TR BC,177,816603,"WESTERLY, RI",SNM,7183,7183,100,89,25,0,N
CROSSFIRST BK,CROSSFIRST BSHRS,178,3594005,"LEAWOOD, KS",SNM,7175,7175,100,89,16,0,N
HERITAGE BK,HERITAGE FC,179,881478,"OLYMPIA, WA",SNM,7146,7146,100,89,52,0,N
SALEM FIVE CENTS SVG BK,SALEM FIVE BC,180,618807,"SALEM, MA",SNM,7118,7118,100,90,34,0,N
INTRUST BK NA,INTRUST FC,181,557858,"WICHITA, KS",NAT,7012,7012,100,90,39,0,N
BANK OF COLORADO,PINNACLE BC,182,255659,"FORT COLLINS, CO",SNM,6959,6959,100,90,51,0,N
BEAL BK,BEAL FNCL CORP,183,1176881,"PLANO, TX",SNM,6955,6955,100,90,6,0,N
CAMBRIDGE SVG BK,CAMBRIDGE FNCL GROUP,184,758703,"CAMBRIDGE, MA",SNM,6937,6937,100,90,17,0,N
FORBRIGHT BK,FORBRIGHT,185,3187630,"POTOMAC, MD",SNM,6786,6786,100,90,3,0,N
METROPOLITAN CMRL BK,METROPOLITAN BK HOLD CORP,186,2705895,"NEW YORK, NY",SMB,6682,6682,100,90,6,0,N
FIRST AMER BK,FIRST AMER BK CORP,187,850036,"ELK GROVE VILLAGE, IL",SNM,6675,6675,100,90,57,0,N
FIRST BK,FB CORP,188,169653,"CREVE COEUR, MO",SMB,6646,6646,100,90,71,0,N
PREFERRED BK,,189,1918344,"LOS ANGELES, CA",SNM,6633,6633,100,90,14,0,N
FIRST MID B&TC NA,FIRST MID BSHRS,190,762447,"MATTOON, IL",NAT,6632,6632,100,90,70,0,N
WESTAMERICA BK,WESTAMERICA BC,191,697763,"SAN RAFAEL, CA",SMB,6520,6520,100,90,76,0,N
PEAPACK GLADSTONE BK,PEAPACK-GLADSTONE FC,192,236706,"BEDMINSTER, NJ",SMB,6518,6518,100,90,17,0,N
BANKERS TC,BTC FC,193,811046,"DES MOINES, IA",SNM,6497,6497,100,90,24,0,N
B1BANK,BUSINESS FIRST BSHRS,194,3408728,"BATON ROUGE, LA",SNM,6496,6496,100,90,49,0,N
MIDWESTONE BK,MIDWESTONE FNCL GRP,195,836843,"IOWA CITY, IA",SNM,6464,6464,100,90,59,0,N
ALPINE BK,ALPINE BK OF CO,196,260055,"GLENWOOD SPRINGS, CO",SNM,6463,6463,100,90,43,0,N
MIZUHO BK USA,MIZUHO AMERS LLC,197,229913,"NEW YORK, NY",SMB,6439,6439,100,90,1,0,Y
LAKE CITY BK,LAKELAND FC,198,874845,"WARSAW, IN",SMB,6415,6415,100,90,54,0,N
REPUBLIC B&TC,REPUBLIC BANCORP,199,316840,"LOUISVILLE, KY",SNM,6377,6377,100,90,45,0,N
JOHNSON BK,JOHNSON FNCL GRP,200,58243,"RACINE, WI",SMB,6372,6372,100,90,30,0,N
RBC BK GA NA,RBC US GRP HOLDS LLC,201,3783948,"ATLANTA, GA",NAT,6328,6328,100,90,0,0,N
DBA REPUBLIC BANK,REPUBLIC FIRST BC,202,1216321,"PHILADELPHIA, PA",SNM,6306,6306,100,90,33,0,N
MIDDLESEX SVG BK,MIDDLESEX BC MHC,203,888002,"NATICK, MA",SNM,6259,6259,100,90,30,0,N
STOCKMAN BK OF MT,STOCKMAN FC,204,651859,"MILES CITY, MT",SNM,6130,6130,100,90,39,0,N
OCEAN BK,OCEAN BSHRS,205,663834,"MIAMI, FL",SNM,6116,6116,100,90,22,0,N
FIVE STAR BK,FINANCIAL INST,206,601416,"WARSAW, NY",SMB,6096,6096,100,90,48,0,N
BROOKLINE BK,BROOKLINE BC,207,782306,"BROOKLINE, MA",SMB,6063,6063,100,90,28,0,N
CITY NB OF WV,CITY HC,208,1011526,"CHARLESTON, WV",NAT,6051,6051,100,90,100,0,N
GERMAN AMER BK,GERMAN AMER BC,209,37640,"JASPER, IN",SNM,5993,5993,100,90,74,0,N
CAMDEN NB,CAMDEN NAT CORP,210,593007,"CAMDEN, ME",NAT,5770,5770,100,90,56,0,N
OLD SECOND NB,OLD SECOND BC,211,936136,"AURORA, IL",NAT,5757,5757,100,90,48,0,N
GREAT SOUTHERN BK,GREAT SOUTHERN BC,212,572374,"REEDS SPRING, MO",SNM,5752,5752,100,90,94,0,N
POPPY BK,BIG POPPY HOLDS,213,3232204,"SANTA ROSA, CA",SNM,5737,5737,100,90,24,0,N
CNB BK,CNB FC,214,399517,"CLEARFIELD, PA",SNM,5711,5711,100,91,54,0,N
SHORE UNITED BK NA,SHORE BSHRS,215,933023,"EASTON, MD",NAT,5703,5703,100,91,41,0,N
FREMONT BK,FREMONT BC,216,739560,"FREMONT, CA",SNM,5682,5682,100,91,21,0,N
HARBORONE BK,HARBORONE BC,217,40499,"BROCKTON, MA",SNM,5667,5667,100,91,30,0,N
COMMUNITY TR BK INC,COMMUNITY TR BC,218,509811,"PIKEVILLE, KY",SMB,5607,5607,100,91,78,0,N
FIRST NB ALASKA,,219,114260,"ANCHORAGE, AK",NAT,5560,5560,100,91,29,0,N
CAPE COD FIVE CENTS SVG BK,MUTUAL BC,220,664206,"HYANNIS, MA",SNM,5506,5506,100,91,25,0,N
AMERICAN NB TX,ANB HC,221,599764,"TERRELL, TX",NAT,5483,5483,100,91,27,0,N
MORTON CMNTY BK,HOMETOWN CMNTY BC ESOP & TR,222,825146,"MORTON, IL",SNM,5467,5467,100,91,52,0,N
CAMBRIDGE TC,CAMBRIDGE BC,223,736206,"CAMBRIDGE, MA",SNM,5452,5452,100,91,21,0,N
HERITAGE BK OF CMRC,HERITAGE CMRC CORP,224,2209553,"SAN JOSE, CA",SMB,5403,5403,100,91,16,0,N
FARMERS & MRCH BK CENT CA,FARMERS & MRCH BC,225,808260,"LODI, CA",SNM,5378,5378,100,91,29,0,N
BROADWAY NB,BROADWAY BSHRS,226,474254,"SAN ANTONIO, TX",NAT,5312,5312,100,91,33,0,N
FIRST NB AMER,FIRST NAT BSHRS,227,413141,"EAST LANSING, MI",NAT,5278,5278,100,91,2,0,N
MERCANTILE BK,MERCANTILE BK CORP,228,2608754,"GRAND RAPIDS, MI",SNM,5231,5231,100,91,41,0,N
MID PENN BK,MID PENN BC,229,786612,"MILLERSBURG, PA",SNM,5205,5205,100,91,49,0,N
CTBC BK CORP USA,CTBC CAP CORP,230,996260,"LOS ANGELES, CA",SNM,5200,5200,100,91,19,0,N
INDEPENDENT BK,INDEPENDENT BK CORP,231,636771,"GRAND RAPIDS, MI",SMB,5196,5196,100,91,59,0,N
FIRST INTERNET BK IN,FIRST INTERNET BC,232,2758613,"FISHERS, IN",SNM,5156,5156,100,91,0,0,N
CFG BK,CAPITAL FUND BC,233,2471239,"LUTHERVILLE, MD",SNM,5035,5035,100,91,2,0,N
CHOICE FNCL GRP,CHOICE FNCL HOLD,234,826956,"FARGO, ND",SNM,5035,5035,100,91,17,0,N
FIRST INTERNATIONAL B&TC,WATFORD CITY BSHRS,235,236153,"WATFORD CITY, ND",SNM,5029,5029,100,91,27,0,N
HEARTLAND B&TC,HBT FNCL,236,426534,"BLOOMINGTON, IL",SNM,4988,4988,100,91,69,0,N
FARMERS NB,FARMERS NAT BC,237,680813,"CANFIELD, OH",NAT,4956,4956,100,91,66,0,N
EQUITY BK,EQUITY BSHRS,238,139656,"ANDOVER, KS",SMB,4942,4942,100,91,66,0,N
RIVER CITY BK,,239,253468,"SACRAMENTO, CA",SNM,4924,4924,100,91,10,0,N
CANANDAIGUA NB&TC,CANANDAIGUA NAT CORP,240,161602,"CANANDAIGUA, NY",NAT,4922,4922,100,91,25,0,N
NORTHPOINTE BK,NORTHPOINTE BSHRS,241,2737980,"GRAND RAPIDS, MI",SNM,4889,4889,100,91,0,0,N
AMERICAN NB,AMERICAN NAT CORP,242,660655,"OMAHA, NE",NAT,4877,4877,100,91,36,0,N
SMARTBANK,SMARTFINANCIAL,243,3532641,"PIGEON FORGE, TN",SMB,4790,4790,100,91,41,0,N
HINSDALE B&TC NA,WINTRUST FC,244,2119773,"HINSDALE, IL",NAT,4782,4782,100,91,16,0,N
FIRST FNCL BK NA,FIRST FC,245,693345,"TERRE HAUTE, IN",NAT,4772,4772,100,91,69,0,N
